framework,version,device,op_name,kernel_source,nccl_dtype,num_gpus,message_size,latency
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,half,2,256,0.005
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,half,2,512,0.00921
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,half,2,1024,0.00915
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,half,2,2048,0.00926
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,half,2,4096,0.00937
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,half,2,8192,0.00948
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,half,2,16384,0.0098699999999999
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,half,2,32768,0.01005
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,half,2,65536,0.01013
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,half,2,131072,0.01028
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,half,2,262144,0.01042
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,half,2,524288,0.01116
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,half,2,1048576,0.01273
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,half,2,2097152,0.01576
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,half,2,4194304,0.02321
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,half,2,8388608,0.03049
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,half,2,16777216,0.03728000000000001
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,half,2,33554432,0.05405
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,half,2,67108864,0.0950999999999999
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,half,2,134217728,0.1695
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,half,2,268435456,0.3152
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,int8,2,512,0.005
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,int8,2,1024,0.009320000000000002
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,int8,2,2048,0.00922
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,int8,2,4096,0.00922
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,int8,2,8192,0.00939
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,int8,2,16384,0.00955
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,int8,2,32768,0.00984
