framework,version,device,op_name,kernel_source,gemm_dtype,m,n,k,latency
SGLang,0.5.9,NVIDIA VR200,gemm,sglang,fp8,1,32,2560,0.0022784646111305086
SGLang,0.5.9,NVIDIA VR200,gemm,sglang,fp8,1024,7168,5120,0.011613265195984832
SGLang,0.5.9,NVIDIA VR200,gemm,sglang,fp8_block,96,12288,16384,0.021635017505035527
SGLang,0.5.9,NVIDIA VR200,gemm,sglang,fp8_block,2048,7168,2048,0.016991897603226523
SGLang,0.5.9,NVIDIA VR200,gemm,sglang,fp8,256,10240,3072,0.005824050492222825
SGLang,0.5.9,NVIDIA VR200,gemm,sglang,fp8,160,768,10240,0.004691354562943329
SGLang,0.5.9,NVIDIA VR200,gemm,sglang,fp8_block,32,3072,5120,0.007643020079407464
SGLang,0.5.9,NVIDIA VR200,gemm,sglang,bfloat16,4,8192,2048,0.0028102846301338654
SGLang,0.5.9,NVIDIA VR200,gemm,sglang,fp8,96,1536,512,0.0022258029826755623
SGLang,0.5.9,NVIDIA VR200,gemm,sglang,bfloat16,32,16384,10240,0.01985705882120393
SGLang,0.5.9,NVIDIA VR200,gemm,sglang,bfloat16,160,2560,256,0.0011497079629133188
SGLang,0.5.9,NVIDIA VR200,gemm,sglang,fp8,8,32,512,0.00200881405173971
SGLang,0.5.9,NVIDIA VR200,gemm,sglang,bfloat16,1024,65536,3072,0.07172444991589172
SGLang,0.5.9,NVIDIA VR200,gemm,sglang,bfloat16,32,128,128,0.0008762764453072278
SGLang,0.5.9,NVIDIA VR200,gemm,sglang,nvfp4,192,2560,512,0.0016276111987863406
SGLang,0.5.9,NVIDIA VR200,gemm,sglang,nvfp4,128,3072,768,0.0018858323486260977
SGLang,0.5.9,NVIDIA VR200,gemm,sglang,bfloat16,192,5120,1024,0.001636105423631081
SGLang,0.5.9,NVIDIA VR200,gemm,sglang,nvfp4,96,256,3584,0.0025887138714807798
SGLang,0.5.9,NVIDIA VR200,gemm,sglang,nvfp4,128,7168,6144,0.00495632814181078
SGLang,0.5.9,NVIDIA VR200,gemm,sglang,nvfp4,256,5120,2048,0.0024631975000059857
SGLang,0.5.9,NVIDIA VR200,gemm,sglang,fp8,160,7168,2560,0.0036135261364496573
SGLang,0.5.9,NVIDIA VR200,gemm,sglang,nvfp4,192,3072,1536,0.0021474174488007197
SGLang,0.5.9,NVIDIA VR200,gemm,sglang,fp8,192,4096,2048,0.002643660303784148
SGLang,0.5.9,NVIDIA VR200,gemm,sglang,nvfp4,2048,2048,10240,0.012396538306604329
SGLang,0.5.9,NVIDIA VR200,gemm,sglang,bfloat16,160,7168,3072,0.00361568831010168
SGLang,0.5.9,NVIDIA VR200,gemm,sglang,fp8,2048,768,6144,0.010692828512652956
