framework,version,device,op_name,kernel_source,m,k,quant_dtype,latency
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,compute_scale,torch_ops,8192,12288,fp8,0.019544213851015523
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,compute_scale,torch_ops,8192,16384,fp8,0.026385208262449736
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,compute_scale,torch_ops,8192,10240,fp8,0.02115258993726981
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,compute_scale,torch_ops,8192,8192,fp8,0.017965416707186037
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,compute_scale,torch_ops,8192,5120,fp8,0.014224999275611286
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,compute_scale,torch_ops,8192,6144,fp8,0.015987647604145682
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,compute_scale,torch_ops,8192,7168,fp8,0.01571578850129033
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,compute_scale,torch_ops,8192,4096,fp8,0.013577948803159628
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,compute_scale,torch_ops,8192,3072,fp8,0.012582125146136559
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,compute_scale,torch_ops,8192,3584,fp8,0.013524534039006633
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,compute_scale,torch_ops,8192,2048,fp8,0.011526258838012598
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,compute_scale,torch_ops,8192,1536,fp8,0.010537392525757519
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,compute_scale,torch_ops,8192,2560,fp8,0.012736878562778059
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,compute_scale,torch_ops,8192,1024,fp8,0.011943014845092267
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,compute_scale,torch_ops,8192,512,fp8,0.01042682409721058
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,compute_scale,torch_ops,8192,768,fp8,0.010834749171878289
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,compute_scale,torch_ops,8192,256,fp8,0.009097353534937725
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,compute_scale,torch_ops,8192,128,fp8,0.009605566523905814
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,compute_scale,torch_ops,8192,64,fp8,0.009880498639287947
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,compute_scale,torch_ops,8192,32,fp8,0.008225508423730099
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,compute_scale,torch_ops,4096,12288,fp8,0.015987647604145682
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,compute_scale,torch_ops,4096,16384,fp8,0.017965416707186037
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,compute_scale,torch_ops,4096,8192,fp8,0.013577948803159628
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,compute_scale,torch_ops,4096,10240,fp8,0.014224999275611286
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,compute_scale,torch_ops,4096,7168,fp8,0.013524534039006633
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,compute_scale,torch_ops,4096,6144,fp8,0.012582125146136559
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,compute_scale,torch_ops,4096,4096,fp8,0.011526258838012598
