framework,version,device,op_name,kernel_source,gemm_dtype,m,n,k,latency
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,gemm,torch_flow,fp8,32768,65536,51200,20.707297860321788
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,gemm,torch_flow,fp8,32768,65536,16384,6.305441157436766
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,gemm,torch_flow,bfloat16,32768,65536,16384,11.792738843893499
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,gemm,torch_flow,bfloat16,32768,65536,12288,8.958485716610934
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,gemm,torch_flow,fp8,32768,65536,12288,4.7859402482800535
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,gemm,torch_flow,bfloat16,32768,65536,51200,38.2511100351382
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,gemm,torch_flow,bfloat16,32768,65536,10240,7.451057704567119
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,gemm,torch_flow,fp8,32768,65536,10240,4.056062460029737
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,gemm,torch_flow,nvfp4,32768,65536,10240,6.605115618024556
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,gemm,torch_flow,bfloat16,32768,65536,8192,6.034737687449212
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,gemm,torch_flow,fp8,32768,65536,8192,3.293429210891563
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,gemm,torch_flow,nvfp4,32768,65536,12288,7.860155378069196
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,gemm,torch_flow,bfloat16,32768,65536,7168,5.318407736085387
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,gemm,torch_flow,fp8,32768,65536,7168,2.6546684682914665
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,gemm,torch_flow,nvfp4,32768,65536,16384,10.333367919921876
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,gemm,torch_flow,bfloat16,32768,65536,6144,4.4691604430710985
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,gemm,torch_flow,fp8,32768,65536,6144,2.2276413387156584
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,gemm,torch_flow,nvfp4,32768,65536,8192,5.284245082310269
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,gemm,torch_flow,bfloat16,32768,65536,5120,3.603482649883587
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,gemm,torch_flow,fp8,32768,65536,5120,1.8150110586640427
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,gemm,torch_flow,nvfp4,32768,65536,7168,4.575060163225448
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,gemm,torch_flow,bfloat16,32768,65536,4096,2.8761543309318083
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,gemm,torch_flow,fp8,32768,65536,4096,1.4853670728987094
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,gemm,torch_flow,nvfp4,32768,65536,6144,3.9740138462611614
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,gemm,torch_flow,bfloat16,32768,65536,3584,2.490024475977716
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,gemm,torch_flow,fp8,32768,65536,3584,1.3424732286829244
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,gemm,torch_flow,nvfp4,32768,65536,4096,2.642188371930804
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,gemm,torch_flow,bfloat16,32768,65536,3072,1.9269386593147029
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,gemm,torch_flow,fp8,32768,65536,3072,1.164346372710877
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,gemm,torch_flow,nvfp4,32768,65536,5120,3.3732365199497774
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,gemm,torch_flow,bfloat16,32768,65536,2560,1.651810426016089
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,gemm,torch_flow,fp8,32768,65536,2560,0.9672158407950517
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,gemm,torch_flow,nvfp4,32768,65536,3072,2.0105252947126115
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,gemm,torch_flow,nvfp4,32768,65536,3584,2.36025150844029
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,gemm,torch_flow,bfloat16,32768,65536,2048,1.3158534938686421
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,gemm,torch_flow,fp8,32768,65536,2048,0.8473215895778033
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,gemm,torch_flow,bfloat16,32768,65536,1536,0.9788021097299828
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,gemm,torch_flow,fp8,32768,65536,1536,0.6399358507840679
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,gemm,torch_flow,nvfp4,32768,65536,2560,1.5069590977260048
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,gemm,torch_flow,bfloat16,32768,65536,1024,0.6958081341884038
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,gemm,torch_flow,fp8,32768,65536,1024,0.5121321674235781
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,gemm,torch_flow,nvfp4,32768,65536,1024,0.8073503766741073
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,gemm,torch_flow,bfloat16,32768,65536,768,0.5375787438075248
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,gemm,torch_flow,fp8,32768,65536,768,0.34909144078303017
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,gemm,torch_flow,nvfp4,32768,65536,1536,0.8235035487583706
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,gemm,torch_flow,bfloat16,32768,65536,512,0.4211235658513267
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,gemm,torch_flow,fp8,32768,65536,512,0.31538497703641594
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,gemm,torch_flow,nvfp4,32768,65536,768,0.5729780254941997
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,gemm,torch_flow,bfloat16,32768,65536,256,0.295577182197128
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,gemm,torch_flow,fp8,32768,65536,256,0.261310375560182
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,gemm,torch_flow,nvfp4,32768,65536,512,0.5677691444083447
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,gemm,torch_flow,bfloat16,32768,65536,128,0.2535359393315035
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,gemm,torch_flow,fp8,32768,65536,128,0.24252402346911045
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,gemm,torch_flow,nvfp4,32768,65536,2048,1.0740479605538504
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,gemm,torch_flow,bfloat16,32768,65536,64,0.23468633562431016
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,gemm,torch_flow,fp8,32768,65536,64,0.24615960047397248
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,gemm,torch_flow,bfloat16,32768,65536,32,0.23868896021987457
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,gemm,torch_flow,fp8,32768,65536,32,0.24582089510830965
