framework,version,device,op_name,kernel_source,mla_dtype,kv_cache_dtype,num_heads,batch_size,isl,tp_size,step,latency
TRTLLM,1.2.0rc6,NVIDIA VR200,mla_generation,default,bfloat16,bfloat16,128,1,1,1,1,0.0107519999146461
TRTLLM,1.2.0rc6,NVIDIA VR200,mla_generation,default,bfloat16,bfloat16,64,1,1,2,1,0.0107519999146461
TRTLLM,1.2.0rc6,NVIDIA VR200,mla_generation,default,bfloat16,bfloat16,32,1,1,4,1,0.0107519999146461
TRTLLM,1.2.0rc6,NVIDIA VR200,mla_generation,default,bfloat16,bfloat16,16,1,1,8,1,0.0107519999146461
TRTLLM,1.2.0rc6,NVIDIA VR200,mla_generation,default,bfloat16,bfloat16,8,1,1,16,1,0.0107519999146461
TRTLLM,1.2.0rc6,NVIDIA VR200,mla_generation,default,bfloat16,bfloat16,4,1,1,32,1,0.0107519999146461
TRTLLM,1.2.0rc6,NVIDIA VR200,mla_generation,default,bfloat16,bfloat16,2,1,1,64,1,0.0107519999146461
TRTLLM,1.2.0rc6,NVIDIA VR200,mla_generation,default,bfloat16,bfloat16,1,1,1,128,1,0.0107519999146461
TRTLLM,1.2.0rc6,NVIDIA VR200,mla_generation,default,bfloat16,fp8,128,1,1,1,1,0.0107519999146461
TRTLLM,1.2.0rc6,NVIDIA VR200,mla_generation,default,bfloat16,fp8,64,1,1,2,1,0.0107519999146461
TRTLLM,1.2.0rc6,NVIDIA VR200,mla_generation,default,bfloat16,fp8,32,1,1,4,1,0.0107519999146461
TRTLLM,1.2.0rc6,NVIDIA VR200,mla_generation,default,bfloat16,fp8,16,1,1,8,1,0.0107519999146461
TRTLLM,1.2.0rc6,NVIDIA VR200,mla_generation,default,bfloat16,fp8,8,1,1,16,1,0.0107519999146461
TRTLLM,1.2.0rc6,NVIDIA VR200,mla_generation,default,bfloat16,fp8,4,1,1,32,1,0.0107519999146461
TRTLLM,1.2.0rc6,NVIDIA VR200,mla_generation,default,bfloat16,fp8,2,1,1,64,1,0.0107519999146461
TRTLLM,1.2.0rc6,NVIDIA VR200,mla_generation,default,bfloat16,fp8,1,1,1,128,1,0.0107519999146461
TRTLLM,1.2.0rc6,NVIDIA VR200,mla_generation,default,bfloat16,bfloat16,128,1,1,1,3,0.0107519999146461
TRTLLM,1.2.0rc6,NVIDIA VR200,mla_generation,default,bfloat16,bfloat16,64,1,1,2,3,0.0107519999146461
TRTLLM,1.2.0rc6,NVIDIA VR200,mla_generation,default,bfloat16,bfloat16,32,1,1,4,3,0.0107519999146461
TRTLLM,1.2.0rc6,NVIDIA VR200,mla_generation,default,bfloat16,bfloat16,16,1,1,8,3,0.0107519999146461
TRTLLM,1.2.0rc6,NVIDIA VR200,mla_generation,default,bfloat16,bfloat16,8,1,1,16,3,0.0107519999146461
TRTLLM,1.2.0rc6,NVIDIA VR200,mla_generation,default,bfloat16,bfloat16,4,1,1,32,3,0.0107519999146461
TRTLLM,1.2.0rc6,NVIDIA VR200,mla_generation,default,bfloat16,bfloat16,2,1,1,64,3,0.0107519999146461
TRTLLM,1.2.0rc6,NVIDIA VR200,mla_generation,default,bfloat16,bfloat16,1,1,1,128,3,0.0107519999146461
TRTLLM,1.2.0rc6,NVIDIA VR200,mla_generation,default,bfloat16,fp8,128,1,1,1,3,0.0107519999146461
TRTLLM,1.2.0rc6,NVIDIA VR200,mla_generation,default,bfloat16,fp8,64,1,1,2,3,0.0107519999146461
TRTLLM,1.2.0rc6,NVIDIA VR200,mla_generation,default,bfloat16,fp8,32,1,1,4,3,0.0107519999146461
TRTLLM,1.2.0rc6,NVIDIA VR200,mla_generation,default,bfloat16,fp8,16,1,1,8,3,0.0107519999146461
TRTLLM,1.2.0rc6,NVIDIA VR200,mla_generation,default,bfloat16,fp8,8,1,1,16,3,0.0107519999146461
TRTLLM,1.2.0rc6,NVIDIA VR200,mla_generation,default,bfloat16,fp8,4,1,1,32,3,0.0107519999146461
TRTLLM,1.2.0rc6,NVIDIA VR200,mla_generation,default,bfloat16,fp8,2,1,1,64,3,0.0107519999146461
TRTLLM,1.2.0rc6,NVIDIA VR200,mla_generation,default,bfloat16,fp8,1,1,1,128,3,0.0107519999146461
TRTLLM,1.2.0rc6,NVIDIA VR200,mla_generation,default,bfloat16,bfloat16,128,1,1,1,7,0.0107519999146461
TRTLLM,1.2.0rc6,NVIDIA VR200,mla_generation,default,bfloat16,bfloat16,64,1,1,2,7,0.0107519999146461
TRTLLM,1.2.0rc6,NVIDIA VR200,mla_generation,default,bfloat16,bfloat16,32,1,1,4,7,0.0107519999146461
TRTLLM,1.2.0rc6,NVIDIA VR200,mla_generation,default,bfloat16,bfloat16,16,1,1,8,7,0.0107519999146461
TRTLLM,1.2.0rc6,NVIDIA VR200,mla_generation,default,bfloat16,bfloat16,8,1,1,16,7,0.0107519999146461
TRTLLM,1.2.0rc6,NVIDIA VR200,mla_generation,default,bfloat16,bfloat16,4,1,1,32,7,0.0107519999146461
TRTLLM,1.2.0rc6,NVIDIA VR200,mla_generation,default,bfloat16,bfloat16,2,1,1,64,7,0.0107519999146461
TRTLLM,1.2.0rc6,NVIDIA VR200,mla_generation,default,bfloat16,bfloat16,1,1,1,128,7,0.0107519999146461
TRTLLM,1.2.0rc6,NVIDIA VR200,mla_generation,default,bfloat16,fp8,128,1,1,1,7,0.0107519999146461
TRTLLM,1.2.0rc6,NVIDIA VR200,mla_generation,default,bfloat16,fp8,64,1,1,2,7,0.0107519999146461
TRTLLM,1.2.0rc6,NVIDIA VR200,mla_generation,default,bfloat16,fp8,32,1,1,4,7,0.0107519999146461
TRTLLM,1.2.0rc6,NVIDIA VR200,mla_generation,default,bfloat16,fp8,16,1,1,8,7,0.0107519999146461
TRTLLM,1.2.0rc6,NVIDIA VR200,mla_generation,default,bfloat16,fp8,8,1,1,16,7,0.0107519999146461
TRTLLM,1.2.0rc6,NVIDIA VR200,mla_generation,default,bfloat16,fp8,4,1,1,32,7,0.0107519999146461
TRTLLM,1.2.0rc6,NVIDIA VR200,mla_generation,default,bfloat16,fp8,2,1,1,64,7,0.0107519999146461
TRTLLM,1.2.0rc6,NVIDIA VR200,mla_generation,default,bfloat16,fp8,1,1,1,128,7,0.0107519999146461
TRTLLM,1.2.0rc6,NVIDIA VR200,mla_generation,default,bfloat16,bfloat16,128,1,1,1,15,0.0107519999146461
TRTLLM,1.2.0rc6,NVIDIA VR200,mla_generation,default,bfloat16,bfloat16,64,1,1,2,15,0.0107519999146461
TRTLLM,1.2.0rc6,NVIDIA VR200,mla_generation,default,bfloat16,bfloat16,32,1,1,4,15,0.0107519999146461
TRTLLM,1.2.0rc6,NVIDIA VR200,mla_generation,default,bfloat16,bfloat16,16,1,1,8,15,0.0107519999146461
TRTLLM,1.2.0rc6,NVIDIA VR200,mla_generation,default,bfloat16,bfloat16,8,1,1,16,15,0.0107519999146461
TRTLLM,1.2.0rc6,NVIDIA VR200,mla_generation,default,bfloat16,bfloat16,4,1,1,32,15,0.0107519999146461
TRTLLM,1.2.0rc6,NVIDIA VR200,mla_generation,default,bfloat16,bfloat16,2,1,1,64,15,0.0107519999146461
TRTLLM,1.2.0rc6,NVIDIA VR200,mla_generation,default,bfloat16,bfloat16,1,1,1,128,15,0.0107519999146461
TRTLLM,1.2.0rc6,NVIDIA VR200,mla_generation,default,bfloat16,fp8,128,1,1,1,15,0.0107519999146461
TRTLLM,1.2.0rc6,NVIDIA VR200,mla_generation,default,bfloat16,fp8,64,1,1,2,15,0.0107519999146461
TRTLLM,1.2.0rc6,NVIDIA VR200,mla_generation,default,bfloat16,fp8,16,1,1,8,15,0.0107519999146461
TRTLLM,1.2.0rc6,NVIDIA VR200,mla_generation,default,bfloat16,fp8,8,1,1,16,15,0.0107519999146461
TRTLLM,1.2.0rc6,NVIDIA VR200,mla_generation,default,bfloat16,fp8,4,1,1,32,15,0.0107519999146461
