framework,version,device,op_name,kernel_source,bmm_dtype,num_tokens,num_heads,latency
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,mla_gen_pre,default,bfloat16,1,32,0.002
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,mla_gen_pre,default,bfloat16,1,8,0.002
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,mla_gen_pre,default,bfloat16,1,4,0.002
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,mla_gen_pre,default,bfloat16,1,2,0.002
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,mla_gen_pre,default,bfloat16,1,1,0.002
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,mla_gen_pre,default,bfloat16,2,128,0.002390109138055273
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,mla_gen_pre,default,bfloat16,2,64,0.002
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,mla_gen_pre,default,bfloat16,2,32,0.002
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,mla_gen_pre,default,bfloat16,2,16,0.002
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,mla_gen_pre,default,bfloat16,2,8,0.002
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,mla_gen_pre,default,bfloat16,2,4,0.002
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,mla_gen_pre,default,bfloat16,2,2,0.002
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,mla_gen_pre,default,bfloat16,2,1,0.002
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,mla_gen_pre,default,bfloat16,4,128,0.0024118991621568065
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,mla_gen_pre,default,bfloat16,4,64,0.002
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,mla_gen_pre,default,bfloat16,4,32,0.002
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,mla_gen_pre,default,bfloat16,4,16,0.002
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,mla_gen_pre,default,bfloat16,4,8,0.002
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,mla_gen_pre,default,bfloat16,4,4,0.002
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,mla_gen_pre,default,bfloat16,1,64,0.002
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,mla_gen_pre,default,bfloat16,4,2,0.002
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,mla_gen_pre,default,bfloat16,8,128,0.0024704064903153175
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,mla_gen_pre,default,bfloat16,4,1,0.002
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,mla_gen_pre,default,bfloat16,8,64,0.002
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,mla_gen_pre,default,bfloat16,8,16,0.002
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,mla_gen_pre,default,bfloat16,8,32,0.002
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,mla_gen_pre,default,bfloat16,8,8,0.002
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,mla_gen_pre,default,bfloat16,8,4,0.002
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,mla_gen_pre,default,bfloat16,8,2,0.002
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,mla_gen_pre,default,bfloat16,8,1,0.002
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,mla_gen_pre,default,bfloat16,16,128,0.0025122955204761118
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,mla_gen_pre,default,bfloat16,16,64,0.002
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,mla_gen_pre,default,bfloat16,16,32,0.002
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,mla_gen_pre,default,bfloat16,16,16,0.002
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,mla_gen_pre,default,bfloat16,16,8,0.002
