framework,version,device,op_name,kernel_source,m,k,quant_dtype,latency
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,scale_matrix,torch_ops,8192,12288,fp8,0.06076042441438187
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,scale_matrix,torch_ops,8192,16384,fp8,0.09862772398523303
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,scale_matrix,torch_ops,8192,10240,fp8,0.0401809641972634
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,scale_matrix,torch_ops,8192,8192,fp8,0.026208164873919415
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,scale_matrix,torch_ops,8192,5120,fp8,0.017514181148744125
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,scale_matrix,torch_ops,8192,6144,fp8,0.020221405631156406
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,scale_matrix,torch_ops,8192,7168,fp8,0.023369408504905178
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,scale_matrix,torch_ops,8192,4096,fp8,0.014566401358654238
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,scale_matrix,torch_ops,8192,3072,fp8,0.011599018808735147
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,scale_matrix,torch_ops,8192,3584,fp8,0.013407751360633364
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,scale_matrix,torch_ops,8192,2048,fp8,0.008937430127951961
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,scale_matrix,torch_ops,8192,1536,fp8,0.007694693878094145
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,scale_matrix,torch_ops,8192,2560,fp8,0.010292524167341718
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,scale_matrix,torch_ops,8192,1024,fp8,0.005775938463398869
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,scale_matrix,torch_ops,8192,512,fp8,0.004553870077647435
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,scale_matrix,torch_ops,8192,768,fp8,0.005346132757207953
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,scale_matrix,torch_ops,8192,256,fp8,0.003738255601812712
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,scale_matrix,torch_ops,8192,128,fp8,0.003018113182654453
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,scale_matrix,torch_ops,8192,64,fp8,0.002609749883450676
