framework,version,device,op_name,kernel_source,moe_dtype,num_tokens,hidden_size,inter_size,topk,num_experts,num_slots,moe_tp_size,moe_ep_size,distribution,latency
TRTLLM,1.2.0rc6,NVIDIA VR200,wideep_moe,wideep_compute_cutlass,nvfp4,1,7168,2048,8,256,256,1,4,power_law_1.01,0.029607562585310474
TRTLLM,1.2.0rc6,NVIDIA VR200,wideep_moe_eplb,wideep_compute_cutlass,nvfp4,1,7168,2048,8,256,288,1,4,power_law_1.01_eplb,0.02876276319677178
TRTLLM,1.2.0rc6,NVIDIA VR200,wideep_moe,wideep_compute_cutlass,nvfp4,2,7168,2048,8,256,256,1,4,power_law_1.01,0.05921512517062095
TRTLLM,1.2.0rc6,NVIDIA VR200,wideep_moe_eplb,wideep_compute_cutlass,nvfp4,1,7168,2048,8,256,256,1,4,power_law_1.01_eplb,0.017854836854067708
TRTLLM,1.2.0rc6,NVIDIA VR200,wideep_moe_eplb,wideep_compute_cutlass,nvfp4,2,7168,2048,8,256,288,1,4,power_law_1.01_eplb,0.05752552639354356
TRTLLM,1.2.0rc6,NVIDIA VR200,wideep_moe,wideep_compute_cutlass,nvfp4,4,7168,2048,8,256,256,1,4,power_law_1.01,0.1184302503412419
TRTLLM,1.2.0rc6,NVIDIA VR200,wideep_moe_eplb,wideep_compute_cutlass,nvfp4,2,7168,2048,8,256,256,1,4,power_law_1.01_eplb,0.035709673708135416
TRTLLM,1.2.0rc6,NVIDIA VR200,wideep_moe_eplb,wideep_compute_cutlass,nvfp4,4,7168,2048,8,256,288,1,4,power_law_1.01_eplb,0.11505105278708712
TRTLLM,1.2.0rc6,NVIDIA VR200,wideep_moe,wideep_compute_cutlass,nvfp4,8,7168,2048,8,256,256,1,4,power_law_1.01,0.2368605006824838
TRTLLM,1.2.0rc6,NVIDIA VR200,wideep_moe,wideep_compute_cutlass,nvfp4,1,7168,2048,8,256,256,1,4,power_law_1.2,0.029810036312450033
TRTLLM,1.2.0rc6,NVIDIA VR200,wideep_moe_eplb,wideep_compute_cutlass,nvfp4,4,7168,2048,8,256,256,1,4,power_law_1.01_eplb,0.07141934741627083
TRTLLM,1.2.0rc6,NVIDIA VR200,wideep_moe_eplb,wideep_compute_cutlass,nvfp4,8,7168,2048,8,256,288,1,4,power_law_1.01_eplb,0.23010210557417424
TRTLLM,1.2.0rc6,NVIDIA VR200,wideep_moe,wideep_compute_cutlass,nvfp4,16,7168,2048,8,256,256,1,4,power_law_1.01,0.4737210013649676
TRTLLM,1.2.0rc6,NVIDIA VR200,wideep_moe,wideep_compute_cutlass,nvfp4,2,7168,2048,8,256,256,1,4,power_law_1.2,0.059620072624900065
TRTLLM,1.2.0rc6,NVIDIA VR200,wideep_moe_eplb,wideep_compute_cutlass,nvfp4,8,7168,2048,8,256,256,1,4,power_law_1.01_eplb,0.14283869483254166
TRTLLM,1.2.0rc6,NVIDIA VR200,wideep_moe_eplb,wideep_compute_cutlass,nvfp4,16,7168,2048,8,256,288,1,4,power_law_1.01_eplb,0.4602042111483485
TRTLLM,1.2.0rc6,NVIDIA VR200,wideep_moe,wideep_compute_cutlass,nvfp4,32,7168,2048,8,256,256,1,4,power_law_1.01,0.9474420027299352
TRTLLM,1.2.0rc6,NVIDIA VR200,wideep_moe,wideep_compute_cutlass,nvfp4,4,7168,2048,8,256,256,1,4,power_law_1.2,0.11924014524980013
TRTLLM,1.2.0rc6,NVIDIA VR200,wideep_moe_eplb,wideep_compute_cutlass,nvfp4,16,7168,2048,8,256,256,1,4,power_law_1.01_eplb,0.2856773896650833
TRTLLM,1.2.0rc6,NVIDIA VR200,wideep_moe_eplb,wideep_compute_cutlass,nvfp4,32,7168,2048,8,256,288,1,4,power_law_1.01_eplb,0.920408422296697
TRTLLM,1.2.0rc6,NVIDIA VR200,wideep_moe,wideep_compute_cutlass,nvfp4,48,7168,2048,8,256,256,1,4,power_law_1.01,0.06920416856470527
TRTLLM,1.2.0rc6,NVIDIA VR200,wideep_moe,wideep_compute_cutlass,nvfp4,8,7168,2048,8,256,256,1,4,power_law_1.2,0.23848029049960026
