model,isl,osl,prefix,concurrency,request_rate,bs,global_bs,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,num_total_gpus,tp,pp,dp,moe_tp,moe_ep,parallel,gemm,kvcache,fmha,moe,comm,memory,balance_score,num_ctx_reqs,num_gen_reqs,num_tokens,ctx_tokens,gen_tokens,backend,version,system,power_w,tokens/s/gpu_cluster
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,256,2.283,256,256,1543.764,223.286,112963.696,2.283,0.143,1139.237,71.202,4.479,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,32.696,0.512,1.0,255.0,2303.0,2048,255.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,71.202
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,240,2.278,240,240,1532.881,209.701,106173.773,2.278,0.142,1136.554,71.035,4.769,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,32.337,0.48,1.0,239.0,2287.0,2048,239.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,71.035
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,224,2.272,224,224,1521.997,196.091,99371.655,2.272,0.142,1133.643,70.853,5.1,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,31.979,0.448,1.0,223.0,2271.0,2048,223.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,70.853
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,208,2.265,208,208,1511.114,182.457,92557.341,2.265,0.142,1130.451,70.653,5.481,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,31.62,0.416,1.0,207.0,2255.0,2048,207.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,70.653
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,192,2.258,192,192,1500.231,168.799,85730.832,2.258,0.141,1126.912,70.432,5.924,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,31.262,0.384,1.0,191.0,2239.0,2048,191.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,70.432
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,176,2.248,176,176,1489.348,155.309,78988.709,2.248,0.14,1121.552,70.097,6.439,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,30.904,0.352,1.0,175.0,2223.0,2048,175.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,70.097
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,176,2.237,176,176,2837.634,154.012,79689.444,2.237,0.14,1116.331,69.771,6.493,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,34.693,0.176,2.0,174.0,4270.0,4096,174.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,69.771
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,160,2.235,160,160,1478.465,141.815,72243.93,2.235,0.14,1115.229,69.702,7.051,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,30.545,0.32,1.0,159.0,2207.0,2048,159.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,69.702
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,160,2.226,160,160,2825.553,140.39,72880.239,2.226,0.139,1110.538,69.409,7.123,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,34.335,0.16,2.0,158.0,4254.0,4096,158.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,69.409
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,144,2.218,144,144,1467.581,128.427,65552.849,2.218,0.139,1106.684,69.168,7.787,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,30.187,0.288,1.0,143.0,2191.0,2048,143.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,69.168
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,144,2.209,144,144,2813.472,126.911,66142.27,2.209,0.138,1102.338,68.896,7.88,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,33.976,0.144,2.0,142.0,4238.0,4096,142.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,68.896
