mode,metric,rtx_pro_6000_scaleup_32x1,rtx_pro_6000_scaleout_8x4,delta
agg,best_throughput,104.662,101.216,3.446000000000012
agg,per_gpu_throughput,104.662,101.216,3.446000000000012
agg,per_user_throughput,3.356,3.213,0.1429999999999998
agg,ttft_ms,1191.934,4108.433,-2916.499
agg,tpot_ms,297.983,311.227,-13.243999999999971
agg,request_latency_ms,149885.682,159410.505,-9524.823000000004
agg,tp,16,16,0.0
agg,pp,1,1,0.0
agg,dp,1,1,0.0
agg,moe_tp,1,1,0.0
agg,moe_ep,16,16,0.0
agg,bs,512,512,0.0
disagg,best_throughput,54.591,54.0,0.5910000000000011
disagg,per_gpu_throughput,54.591,54.0,0.5910000000000011
disagg,per_user_throughput,71.735,40.006,31.729
disagg,ttft_ms,463.671,7498.748,-7035.076999999999
disagg,tpot_ms,13.94,24.996,-11.056
disagg,request_latency_ms,7419.731,19971.752,-12552.021
disagg,prefill_workers,1,4,-3.0
disagg,decode_workers,1,1,0.0
disagg,prefill_tp,16,1,15.0
disagg,decode_tp,16,16,0.0
disagg,prefill_dp,1,4,-3.0
disagg,decode_dp,1,1,0.0
disagg,prefill_moe_ep,16,4,12.0
disagg,decode_moe_ep,16,16,0.0
disagg,prefill_bs,1,1,0.0
disagg,decode_bs,28,92,-64.0
