model,isl,osl,prefix,concurrency,request_rate,bs,global_bs,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,num_total_gpus,tp,pp,dp,moe_tp,moe_ep,parallel,gemm,kvcache,fmha,moe,comm,memory,balance_score,num_ctx_reqs,num_gen_reqs,num_tokens,ctx_tokens,gen_tokens,backend,version,system,power_w,tokens/s/gpu_cluster
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,512,3.245,512,512,4108.433,311.227,159410.505,3.245,0.203,1619.463,101.216,3.213,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,49.799,0.256,4.0,508.0,8700.0,8192,508.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,101.216
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,480,3.243,480,480,4090.469,291.649,149623.381,3.243,0.203,1618.187,101.137,3.429,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,49.082,0.24,4.0,476.0,8668.0,8192,476.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,101.137
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,448,3.24,448,448,4072.505,272.085,139842.745,3.24,0.202,1616.657,101.041,3.675,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,48.365,0.224,4.0,444.0,8636.0,8192,444.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,101.041
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,416,3.236,416,416,4054.542,252.533,130068.596,3.236,0.202,1614.813,100.926,3.96,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,47.648,0.208,4.0,412.0,8604.0,8192,412.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,100.926
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,384,3.232,384,384,4036.578,232.997,120301.932,3.232,0.202,1612.566,100.785,4.292,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,46.931,0.192,4.0,380.0,8572.0,8192,380.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,100.785
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,352,3.222,352,352,2109.622,216.656,110221.066,3.222,0.201,1607.61,100.476,4.616,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,38.636,0.352,2.0,350.0,4446.0,4096,350.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,100.476
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,352,3.22,352,352,4018.614,213.877,110743.282,3.22,0.201,1606.867,100.429,4.676,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,46.215,0.176,4.0,348.0,8540.0,8192,348.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,100.429
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,320,3.209,320,320,2092.112,197.467,100627.992,3.209,0.201,1601.444,100.09,5.064,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,37.919,0.32,2.0,318.0,4414.0,4096,318.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,100.09
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,320,3.206,320,320,4000.65,194.786,101198.984,3.206,0.2,1599.852,99.991,5.134,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,45.498,0.16,4.0,316.0,8508.0,8192,316.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,99.991
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,288,3.193,288,288,2074.603,178.327,91059.968,3.193,0.2,1593.53,99.596,5.608,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,37.202,0.288,2.0,286.0,4382.0,4096,286.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,99.596
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,288,3.189,288,288,3982.686,175.724,91669.036,3.189,0.199,1591.109,99.444,5.691,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,44.781,0.144,4.0,284.0,8476.0,8192,284.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,99.444
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,256,3.173,256,256,2057.059,159.21,81502.995,3.173,0.198,1583.532,98.971,6.281,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,36.485,0.256,2.0,254.0,4350.0,4096,254.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,98.971
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,256,3.167,256,256,3964.723,156.661,82138.36,3.167,0.198,1580.328,98.77,6.383,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,44.064,0.128,4.0,252.0,8444.0,8192,252.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,98.77
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,240,3.161,240,240,2048.32,149.673,76735.271,3.161,0.198,1577.37,98.586,6.681,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,36.127,0.24,2.0,238.0,4334.0,4096,238.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,98.586
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,240,3.154,240,240,3955.741,147.141,77378.985,3.154,0.197,1573.806,98.363,6.796,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,43.706,0.12,4.0,236.0,8428.0,8192,236.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,98.363
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,224,3.147,224,224,2039.581,140.148,71973.5,3.147,0.197,1570.256,98.141,7.135,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,35.768,0.224,2.0,222.0,4318.0,4096,222.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,98.141
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,224,3.139,224,224,3946.759,137.628,72623.073,3.139,0.196,1566.343,97.896,7.266,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,43.347,0.112,4.0,220.0,8412.0,8192,220.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,97.896
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,208,3.13,208,208,2030.841,130.635,67217.683,3.13,0.196,1561.987,97.624,7.655,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,35.41,0.208,2.0,206.0,4302.0,4096,206.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,97.624
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,208,3.122,208,208,3937.777,128.122,67870.625,3.122,0.195,1557.738,97.359,7.805,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,42.989,0.104,4.0,204.0,8396.0,8192,204.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,97.359
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,192,3.111,192,192,2022.102,121.134,62467.819,3.111,0.194,1552.3,97.019,8.255,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,35.052,0.192,2.0,190.0,4286.0,4096,190.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,97.019
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,192,3.102,192,192,3928.795,118.623,63121.641,3.102,0.194,1547.732,96.733,8.43,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,42.631,0.096,4.0,188.0,8380.0,8192,188.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,96.733
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,176,3.08,176,176,2013.363,111.921,57861.971,3.08,0.193,1537.137,96.071,8.935,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,34.693,0.176,2.0,174.0,4270.0,4096,174.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,96.071
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,176,3.07,176,176,3919.813,109.437,58528.928,3.07,0.192,1531.9,95.744,9.138,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,42.272,0.088,4.0,172.0,8364.0,8192,172.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,95.744
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,160,3.044,160,160,2004.624,102.731,53267.437,3.044,0.19,1519.002,94.938,9.734,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,34.335,0.16,2.0,158.0,4254.0,4096,158.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,94.938
