model,isl,osl,prefix,concurrency,request_rate,bs,global_bs,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,num_total_gpus,tp,pp,dp,moe_tp,moe_ep,parallel,gemm,kvcache,fmha,moe,comm,memory,balance_score,num_ctx_reqs,num_gen_reqs,num_tokens,ctx_tokens,gen_tokens,backend,version,system,power_w,tokens/s/gpu_cluster
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,512,4.599,512,512,869.67,217.417,109360.969,4.599,0.287,2295.124,143.445,4.599,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,38.43,1.024,1.0,511.0,2559.0,2048,511.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,143.445
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,480,4.581,480,480,864.83,209.543,105426.664,4.581,0.286,2285.684,142.855,4.772,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,37.713,0.96,1.0,479.0,2527.0,2048,479.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,142.855
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,448,4.55,448,448,857.085,196.813,99066.551,4.55,0.284,2270.517,141.907,5.081,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,36.996,0.896,1.0,447.0,2495.0,2048,447.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,141.907
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,416,4.519,416,416,849.341,183.921,92626.161,4.519,0.282,2255.221,140.951,5.437,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,36.28,0.832,1.0,415.0,2463.0,2048,415.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,140.951
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,384,4.488,384,384,841.597,170.87,86105.781,4.488,0.281,2239.718,139.982,5.852,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,35.563,0.768,1.0,383.0,2431.0,2048,383.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,139.982
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,384,4.483,384,384,1521.042,170.038,86369.966,4.483,0.28,2237.208,139.825,5.881,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,39.352,0.384,2.0,382.0,4478.0,4096,382.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,139.825
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,352,4.47,352,352,1507.277,156.165,79433.843,4.47,0.279,2230.601,139.413,6.403,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,38.636,0.352,2.0,350.0,4446.0,4096,350.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,139.413
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,256,4.462,256,256,781.134,114.257,57795.249,4.462,0.279,2226.613,139.163,8.752,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,32.696,0.512,1.0,255.0,2303.0,2048,255.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,139.163
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,240,4.446,240,240,775.486,107.438,54387.039,4.446,0.278,2218.67,138.667,9.308,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,32.337,0.48,1.0,239.0,2287.0,2048,239.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,138.667
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,224,4.429,224,224,769.838,100.608,50973.084,4.429,0.277,2209.911,138.119,9.94,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,31.979,0.448,1.0,223.0,2271.0,2048,223.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,138.119
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,208,4.409,208,208,764.19,93.766,47553.382,4.409,0.276,2200.158,137.51,10.665,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,31.62,0.416,1.0,207.0,2255.0,2048,207.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,137.51
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,192,4.387,192,192,758.542,86.913,44127.933,4.387,0.274,2189.173,136.823,11.506,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,31.262,0.384,1.0,191.0,2239.0,2048,191.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,136.823
