model,isl,osl,prefix,concurrency,request_rate,bs,global_bs,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,num_total_gpus,tp,pp,dp,moe_tp,moe_ep,parallel,gemm,kvcache,fmha,moe,comm,memory,balance_score,num_ctx_reqs,num_gen_reqs,num_tokens,ctx_tokens,gen_tokens,backend,version,system,power_w,tokens/s/gpu_cluster
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,512,3.356,512,512,1191.934,297.983,149885.682,3.356,0.21,1674.59,104.662,3.356,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,38.43,1.024,1.0,511.0,2559.0,2048,511.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,104.662
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,480,3.35,480,480,1184.124,286.52,144157.45,3.35,0.209,1671.594,104.475,3.49,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,37.713,0.96,1.0,479.0,2527.0,2048,479.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,104.475
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,256,3.344,256,256,1067.172,152.438,77133.97,3.344,0.209,1668.497,104.281,6.56,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,32.696,0.512,1.0,255.0,2303.0,2048,255.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,104.281
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,240,3.338,240,240,1059.149,143.066,72449.324,3.338,0.209,1665.684,104.105,6.99,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,32.337,0.48,1.0,239.0,2287.0,2048,239.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,104.105
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,224,3.331,224,224,1051.125,133.711,67772.816,3.331,0.208,1662.279,103.892,7.479,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,31.979,0.448,1.0,223.0,2271.0,2048,223.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,103.892
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,208,3.323,208,208,1043.102,124.371,63104.445,3.323,0.208,1658.154,103.635,8.04,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,31.62,0.416,1.0,207.0,2255.0,2048,207.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,103.635
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,192,3.313,192,192,1035.078,115.048,58444.213,3.313,0.207,1653.135,103.321,8.692,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,31.262,0.384,1.0,191.0,2239.0,2048,191.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,103.321
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,176,3.294,176,176,1027.055,105.959,53900.691,3.294,0.206,1643.659,102.729,9.438,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,30.904,0.352,1.0,175.0,2223.0,2048,175.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,102.729
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,160,3.27,160,160,1019.032,96.908,49376.03,3.27,0.204,1631.804,101.988,10.319,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,30.545,0.32,1.0,159.0,2207.0,2048,159.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,101.988
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,144,3.24,144,144,1011.008,87.906,44876.004,3.24,0.202,1616.651,101.041,11.376,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,30.187,0.288,1.0,143.0,2191.0,2048,143.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,101.041
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,128,3.201,128,128,1002.985,78.934,40391.235,3.201,0.2,1597.494,99.843,12.669,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,29.828,0.256,1.0,127.0,2175.0,2048,127.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,99.843
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,112,3.155,112,112,994.962,69.931,35890.58,3.155,0.197,1574.222,98.389,14.3,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,29.47,0.224,1.0,111.0,2159.0,2048,111.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,98.389
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,112,3.1,112,112,1955.824,69.74,36756.134,3.1,0.194,1546.957,96.685,14.339,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,33.26,0.112,2.0,110.0,4206.0,4096,110.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,96.685
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,112,3.097,112,112,3118.144,66.969,36535.533,3.097,0.194,1545.501,96.594,14.932,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,40.839,0.056,4.0,108.0,8300.0,8192,108.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,96.594
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,96,3.093,96,96,986.938,60.958,31405.204,3.093,0.193,1543.47,96.467,16.405,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,29.112,0.192,1.0,95.0,2143.0,2048,95.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,96.467
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,96,3.039,96,96,1947.176,60.622,32197.457,3.039,0.19,1516.457,94.779,16.496,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,32.901,0.096,2.0,94.0,4190.0,4096,94.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,94.779
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,96,3.035,96,96,2919.48,57.87,31796.492,3.035,0.19,1514.373,94.648,17.28,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,40.48,0.048,4.0,92.0,8284.0,8192,92.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,94.648
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,80,2.992,80,80,978.915,52.326,27089.83,2.992,0.187,1492.869,93.304,19.111,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,28.753,0.16,1.0,79.0,2127.0,2048,79.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,93.304
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,80,2.938,80,80,1865.835,51.862,27745.213,2.938,0.184,1466.054,91.628,19.282,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,32.543,0.08,2.0,78.0,4174.0,4096,78.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,91.628
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,80,2.932,80,80,2721.705,49.135,27240.014,2.932,0.183,1463.075,91.442,20.352,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,40.122,0.04,4.0,76.0,8268.0,8192,76.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,91.442
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,64,2.861,64,64,970.892,43.539,22696.607,2.861,0.179,1427.83,89.239,22.968,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,28.395,0.128,1.0,63.0,2111.0,2048,63.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,89.239
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,64,2.81,64,64,1664.523,42.909,23075.998,2.81,0.176,1402.358,87.647,23.305,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,32.184,0.064,2.0,62.0,4158.0,4096,62.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,87.647
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,64,2.803,64,64,2524.818,40.182,22575.83,2.803,0.175,1398.927,87.433,24.887,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,39.764,0.032,4.0,60.0,8252.0,8192,60.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,87.433
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,56,2.766,56,56,966.88,39.274,20564.471,2.766,0.173,1380.346,86.272,25.462,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,28.216,0.112,1.0,55.0,2103.0,2048,55.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,86.272
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,56,2.717,56,56,1564.516,38.563,20807.287,2.717,0.17,1355.859,84.741,25.932,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,32.005,0.056,2.0,54.0,4150.0,4096,54.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,84.741
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,56,2.71,56,56,2426.709,35.836,20308.948,2.71,0.169,1352.204,84.513,27.905,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,39.584,0.028,4.0,52.0,8244.0,8192,52.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,84.513
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,48,2.647,48,48,962.868,35.027,18441.311,2.647,0.165,1321.086,82.568,28.549,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,28.036,0.096,1.0,47.0,2095.0,2048,47.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,82.568
