mode,metric,rtx_pro_6000_scaleup_32x1,rtx_pro_6000_scaleout_8x4,delta
agg,best_throughput,150.222,137.993,12.229000000000013
agg,per_gpu_throughput,150.222,137.993,12.229000000000013
agg,per_user_throughput,4.817,4.425,0.39200000000000035
agg,ttft_ms,830.436,904.034,-73.59799999999996
agg,tpot_ms,207.609,226.009,-18.399999999999977
agg,request_latency_ms,104427.337,113682.299,-9254.962
agg,tp,16,16,0.0
agg,pp,1,1,0.0
agg,dp,1,1,0.0
agg,moe_tp,1,1,0.0
agg,moe_ep,16,16,0.0
agg,bs,512,512,0.0
disagg,best_throughput,77.991,71.536,6.454999999999998
disagg,per_gpu_throughput,77.991,71.536,6.454999999999998
disagg,per_user_throughput,94.106,91.722,2.3840000000000003
disagg,ttft_ms,324.551,353.844,-29.293000000000006
disagg,tpot_ms,10.626,10.902,-0.2759999999999998
disagg,request_latency_ms,5626.925,5793.942,-167.01699999999983
disagg,prefill_workers,1,1,0.0
disagg,decode_workers,1,1,0.0
disagg,prefill_tp,16,16,0.0
disagg,decode_tp,16,16,0.0
disagg,prefill_dp,1,1,0.0
disagg,decode_dp,1,1,0.0
disagg,prefill_moe_ep,16,16,0.0
disagg,decode_moe_ep,16,16,0.0
disagg,prefill_bs,1,1,0.0
disagg,decode_bs,32,32,0.0
