model,isl,osl,prefix,concurrency,request_rate,bs,global_bs,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,num_total_gpus,tp,pp,dp,moe_tp,moe_ep,parallel,gemm,kvcache,fmha,moe,comm,memory,balance_score,num_ctx_reqs,num_gen_reqs,num_tokens,ctx_tokens,gen_tokens,backend,version,system,power_w,tokens/s/gpu_cluster
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,512,3.262,512,512,1226.298,306.575,154207.013,3.262,0.204,1627.663,101.729,3.262,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,38.43,1.024,1.0,511.0,2559.0,2048,511.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,101.729
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,256,3.262,256,256,1097.596,156.269,79075.996,3.262,0.204,1627.539,101.721,6.399,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,32.696,0.512,1.0,255.0,2303.0,2048,255.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,101.721
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,240,3.258,240,240,1089.314,146.565,74225.085,3.258,0.204,1625.857,101.616,6.823,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,32.337,0.48,1.0,239.0,2287.0,2048,239.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,101.616
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,224,3.254,224,224,1081.033,136.874,69381.05,3.254,0.203,1623.777,101.486,7.306,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,31.979,0.448,1.0,223.0,2271.0,2048,223.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,101.486
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,208,3.249,208,208,1072.751,127.197,64543.892,3.249,0.203,1621.21,101.326,7.862,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,31.62,0.416,1.0,207.0,2255.0,2048,207.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,101.326
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,192,3.243,192,192,1064.469,117.533,59713.611,3.243,0.203,1618.039,101.127,8.508,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,31.262,0.384,1.0,191.0,2239.0,2048,191.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,101.127
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,176,3.228,176,176,1056.187,108.101,54998.779,3.228,0.202,1610.902,100.681,9.251,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,30.904,0.352,1.0,175.0,2223.0,2048,175.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,100.681
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,160,3.21,160,160,1047.906,98.705,50301.548,3.21,0.201,1601.857,100.116,10.131,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,30.545,0.32,1.0,159.0,2207.0,2048,159.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,100.116
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,144,3.187,144,144,1039.624,89.355,45627.69,3.187,0.199,1590.119,99.382,11.191,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,30.187,0.288,1.0,143.0,2191.0,2048,143.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,99.382
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,128,3.157,128,128,1031.342,80.033,40967.829,3.157,0.197,1575.145,98.447,12.495,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,29.828,0.256,1.0,127.0,2175.0,2048,127.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,98.447
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,112,3.121,112,112,1023.06,70.654,36279.245,3.121,0.195,1557.542,97.346,14.154,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,29.47,0.224,1.0,111.0,2159.0,2048,111.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,97.346
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,96,3.074,96,96,1014.779,61.3,31603.725,3.074,0.192,1534.036,95.877,16.313,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,29.112,0.192,1.0,95.0,2143.0,2048,95.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,95.877
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,96,3.02,96,96,2008.056,60.925,32409.844,3.02,0.189,1507.08,94.192,16.414,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,32.901,0.096,2.0,94.0,4190.0,4096,94.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,94.192
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,96,3.016,96,96,3015.73,58.072,31993.499,3.016,0.189,1505.094,94.068,17.22,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,40.48,0.048,4.0,92.0,8284.0,8192,92.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,94.068
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,80,2.992,80,80,1006.497,52.284,27095.992,2.992,0.187,1492.906,93.307,19.126,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,28.753,0.16,1.0,79.0,2127.0,2048,79.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,93.307
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,80,2.938,80,80,1924.185,51.774,27759.277,2.938,0.184,1465.981,91.624,19.315,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,32.543,0.08,2.0,78.0,4174.0,4096,78.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,91.624
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,80,2.932,80,80,2811.462,48.942,27233.595,2.932,0.183,1463.146,91.447,20.432,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,40.122,0.04,4.0,76.0,8268.0,8192,76.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,91.447
