model,isl,osl,prefix,concurrency,request_rate,bs,global_bs,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,num_total_gpus,tp,pp,dp,moe_tp,moe_ep,parallel,gemm,kvcache,fmha,moe,comm,memory,balance_score,num_ctx_reqs,num_gen_reqs,num_tokens,ctx_tokens,gen_tokens,backend,version,system,power_w,tokens/s/gpu_cluster
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,512,4.425,512,512,904.034,226.009,113682.299,4.425,0.277,2207.881,137.993,4.425,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,38.43,1.024,1.0,511.0,2559.0,2048,511.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,137.993
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,480,4.408,480,480,898.871,217.754,109558.29,4.408,0.275,2199.488,137.468,4.592,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,37.713,0.96,1.0,479.0,2527.0,2048,479.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,137.468
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,448,4.381,448,448,890.61,204.413,102892.674,4.381,0.274,2186.088,136.631,4.892,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,36.996,0.896,1.0,447.0,2495.0,2048,447.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,136.631
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,416,4.354,416,416,882.349,190.906,96144.349,4.354,0.272,2172.7,135.794,5.238,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,36.28,0.832,1.0,415.0,2463.0,2048,415.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,135.794
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,384,4.327,384,384,874.088,177.233,89313.601,4.327,0.27,2159.282,134.955,5.642,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,35.563,0.768,1.0,383.0,2431.0,2048,383.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,134.955
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,256,4.317,256,256,811.558,118.088,59737.275,4.317,0.27,2154.264,134.641,8.468,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,32.696,0.512,1.0,255.0,2303.0,2048,255.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,134.641
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,240,4.306,240,240,805.652,110.936,56162.8,4.306,0.269,2148.566,134.285,9.014,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,32.337,0.48,1.0,239.0,2287.0,2048,239.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,134.285
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,224,4.293,224,224,799.745,103.771,52581.318,4.293,0.268,2142.376,133.899,9.637,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,31.979,0.448,1.0,223.0,2271.0,2048,223.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,133.899
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,208,4.28,208,208,793.839,96.591,48992.828,4.28,0.267,2135.586,133.474,10.353,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,31.62,0.416,1.0,207.0,2255.0,2048,207.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,133.474
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,192,4.265,192,192,787.933,89.398,45397.331,4.265,0.267,2128.047,133.003,11.186,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,31.262,0.384,1.0,191.0,2239.0,2048,191.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,133.003
