model,isl,osl,prefix,concurrency,request_rate,bs,global_bs,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,num_total_gpus,tp,pp,dp,moe_tp,moe_ep,parallel,gemm,kvcache,fmha,moe,comm,memory,balance_score,num_ctx_reqs,num_gen_reqs,num_tokens,ctx_tokens,gen_tokens,backend,version,system,power_w,tokens/s/gpu_cluster
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,256,3.472,256,256,1031.048,146.796,74282.202,3.472,0.217,1732.572,108.286,6.812,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,32.696,0.512,1.0,255.0,2303.0,2048,255.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,108.286
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,240,3.468,240,240,1023.229,137.683,69727.031,3.468,0.217,1730.739,108.171,7.263,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,32.337,0.48,1.0,239.0,2287.0,2048,239.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,108.171
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,224,3.464,224,224,1015.41,128.585,65179.131,3.464,0.216,1728.456,108.029,7.777,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,31.979,0.448,1.0,223.0,2271.0,2048,223.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,108.029
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,208,3.458,208,208,1007.59,119.501,60638.503,3.458,0.216,1725.622,107.851,8.368,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,31.62,0.416,1.0,207.0,2255.0,2048,207.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,107.851
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,192,3.451,192,192,999.771,110.432,56105.145,3.451,0.216,1722.102,107.631,9.055,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,31.262,0.384,1.0,191.0,2239.0,2048,191.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,107.631
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,176,3.435,176,176,991.952,101.595,51687.632,3.435,0.215,1714.092,107.131,9.843,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,30.904,0.352,1.0,175.0,2223.0,2048,175.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,107.131
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,160,3.415,160,160,984.132,92.794,47288.114,3.415,0.213,1703.926,106.495,10.777,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,30.545,0.32,1.0,159.0,2207.0,2048,159.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,106.495
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,144,3.388,144,144,976.313,84.04,42912.363,3.388,0.212,1690.721,105.67,11.899,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,30.187,0.288,1.0,143.0,2191.0,2048,143.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,105.67
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,128,3.354,128,128,968.493,75.316,38551.004,3.354,0.21,1673.871,104.617,13.277,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,29.828,0.256,1.0,127.0,2175.0,2048,127.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,104.617
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,112,3.315,112,112,960.674,66.534,34161.317,3.315,0.207,1654.074,103.38,15.03,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,29.47,0.224,1.0,111.0,2159.0,2048,111.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,103.38
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,96,3.262,96,96,952.855,57.78,29785.087,3.262,0.204,1627.654,101.728,17.307,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,29.112,0.192,1.0,95.0,2143.0,2048,95.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,101.728
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,96,3.201,96,96,1886.982,57.487,30573.047,3.201,0.2,1597.528,99.846,17.395,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,32.901,0.096,2.0,94.0,4190.0,4096,94.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,99.846
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,96,3.197,96,96,2833.207,54.808,30182.561,3.197,0.2,1595.391,99.712,18.245,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,40.48,0.048,4.0,92.0,8284.0,8192,92.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,99.712
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,80,3.169,80,80,945.035,49.363,25577.039,3.169,0.198,1581.488,98.843,20.258,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,28.753,0.16,1.0,79.0,2127.0,2048,79.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,98.843
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,80,3.109,80,80,1808.097,48.937,26227.773,3.109,0.194,1551.454,96.966,20.434,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,32.543,0.08,2.0,78.0,4174.0,4096,78.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,96.966
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,80,3.103,80,80,2641.237,46.282,25735.805,3.103,0.194,1548.352,96.772,21.607,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,40.122,0.04,4.0,76.0,8268.0,8192,76.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,96.772
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,64,3.051,64,64,937.216,40.786,21289.32,3.051,0.191,1522.687,95.168,24.518,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,28.395,0.128,1.0,63.0,2111.0,2048,63.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,95.168
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,64,2.994,64,64,1612.963,40.191,21668.326,2.994,0.187,1493.903,93.369,24.881,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,32.184,0.064,2.0,62.0,4158.0,4096,62.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,93.369
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,64,2.987,64,64,2450.135,37.537,21180.859,2.987,0.187,1490.29,93.143,26.641,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,39.764,0.032,4.0,60.0,8252.0,8192,60.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,93.143
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,56,2.963,56,56,933.306,36.62,19206.9,2.963,0.185,1478.493,92.406,27.307,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,28.216,0.112,1.0,55.0,2103.0,2048,55.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,92.406
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,56,2.907,56,56,1516.029,35.943,19451.635,2.907,0.182,1450.647,90.665,27.822,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,32.005,0.056,2.0,54.0,4150.0,4096,54.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,90.665
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,56,2.899,56,56,2354.91,33.288,18965.838,2.899,0.181,1446.764,90.423,30.04,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,39.584,0.028,4.0,52.0,8244.0,8192,52.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,90.423
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,48,2.851,48,48,929.396,32.472,17132.914,2.851,0.178,1422.698,88.919,30.796,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,28.036,0.096,1.0,47.0,2095.0,2048,47.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,88.919
