model,isl,osl,prefix,concurrency,request_rate,bs,global_bs,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,num_total_gpus,tp,pp,dp,moe_tp,moe_ep,parallel,gemm,kvcache,fmha,moe,comm,memory,balance_score,num_ctx_reqs,num_gen_reqs,num_tokens,ctx_tokens,gen_tokens,backend,version,system,power_w,tokens/s/gpu_cluster
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,512,4.817,512,512,830.436,207.609,104427.337,4.817,0.301,2403.556,150.222,4.817,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,38.43,1.024,1.0,511.0,2559.0,2048,511.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,150.222
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,480,4.797,480,480,825.851,200.08,100665.545,4.797,0.3,2393.789,149.612,4.998,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,37.713,0.96,1.0,479.0,2527.0,2048,479.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,149.612
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,448,4.766,448,448,818.514,187.9,94580.76,4.766,0.298,2378.204,148.638,5.322,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,36.996,0.896,1.0,447.0,2495.0,2048,447.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,148.638
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,416,4.735,416,416,811.178,175.558,88414.844,4.735,0.296,2362.643,147.665,5.696,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,36.28,0.832,1.0,415.0,2463.0,2048,415.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,147.665
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,384,4.704,384,384,803.842,163.055,82168.082,4.704,0.294,2347.056,146.691,6.133,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,35.563,0.768,1.0,383.0,2431.0,2048,383.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,146.691
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,256,4.694,256,256,745.01,108.614,54943.48,4.694,0.293,2342.208,146.388,9.207,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,32.696,0.512,1.0,255.0,2303.0,2048,255.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,146.388
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,240,4.681,240,240,739.567,102.054,51664.746,4.681,0.293,2335.607,145.975,9.799,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,32.337,0.48,1.0,239.0,2287.0,2048,239.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,145.975
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,224,4.666,224,224,734.123,95.482,48379.399,4.666,0.292,2328.429,145.527,10.473,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,31.979,0.448,1.0,223.0,2271.0,2048,223.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,145.527
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,208,4.65,208,208,728.679,88.895,45087.439,4.65,0.291,2320.542,145.034,11.249,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,31.62,0.416,1.0,207.0,2255.0,2048,207.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,145.034
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,192,4.633,192,192,723.235,82.296,41788.866,4.633,0.29,2311.776,144.486,12.151,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,31.262,0.384,1.0,191.0,2239.0,2048,191.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,144.486
