framework,version,device,op_name,kernel_source,model,architecture,mla_dtype,kv_cache_dtype,gemm_type,num_heads,batch_size,isl,tp_size,step,compress_ratio,latency
SGLang,kernel-level,NVIDIA RTX PRO 6000 Blackwell Server Edition,dsv4_flash_paged_mqa_logits_module,deep_gemm.fp8_paged_mqa_logits,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,fp8_e4m3,fp8_e4m3,fp8_block,64,1,1,1,4,4,0.025870
SGLang,kernel-level,NVIDIA RTX PRO 6000 Blackwell Server Edition,dsv4_flash_paged_mqa_logits_module,deep_gemm.fp8_paged_mqa_logits,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,fp8_e4m3,fp8_e4m3,fp8_block,64,1,1,1,16,4,0.025771
SGLang,kernel-level,NVIDIA RTX PRO 6000 Blackwell Server Edition,dsv4_flash_paged_mqa_logits_module,deep_gemm.fp8_paged_mqa_logits,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,fp8_e4m3,fp8_e4m3,fp8_block,64,1,1,1,32,4,0.025717
SGLang,kernel-level,NVIDIA RTX PRO 6000 Blackwell Server Edition,dsv4_flash_paged_mqa_logits_module,deep_gemm.fp8_paged_mqa_logits,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,fp8_e4m3,fp8_e4m3,fp8_block,64,1,1,1,64,4,0.027732
SGLang,kernel-level,NVIDIA RTX PRO 6000 Blackwell Server Edition,dsv4_flash_paged_mqa_logits_module,deep_gemm.fp8_paged_mqa_logits,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,fp8_e4m3,fp8_e4m3,fp8_block,64,1,1,1,128,4,0.027732
SGLang,kernel-level,NVIDIA RTX PRO 6000 Blackwell Server Edition,dsv4_flash_paged_mqa_logits_module,deep_gemm.fp8_paged_mqa_logits,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,fp8_e4m3,fp8_e4m3,fp8_block,64,1,1,1,256,4,0.027749
SGLang,kernel-level,NVIDIA RTX PRO 6000 Blackwell Server Edition,dsv4_flash_paged_mqa_logits_module,deep_gemm.fp8_paged_mqa_logits,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,fp8_e4m3,fp8_e4m3,fp8_block,64,1,1,1,512,4,0.029280
SGLang,kernel-level,NVIDIA RTX PRO 6000 Blackwell Server Edition,dsv4_flash_paged_mqa_logits_module,deep_gemm.fp8_paged_mqa_logits,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,fp8_e4m3,fp8_e4m3,fp8_block,64,1,1,1,1024,4,0.029196
SGLang,kernel-level,NVIDIA RTX PRO 6000 Blackwell Server Edition,dsv4_flash_paged_mqa_logits_module,deep_gemm.fp8_paged_mqa_logits,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,fp8_e4m3,fp8_e4m3,fp8_block,64,1,1,1,1536,4,0.029279
SGLang,kernel-level,NVIDIA RTX PRO 6000 Blackwell Server Edition,dsv4_flash_paged_mqa_logits_module,deep_gemm.fp8_paged_mqa_logits,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,fp8_e4m3,fp8_e4m3,fp8_block,64,1,1,1,2048,4,0.031828
SGLang,kernel-level,NVIDIA RTX PRO 6000 Blackwell Server Edition,dsv4_flash_paged_mqa_logits_module,deep_gemm.fp8_paged_mqa_logits,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,fp8_e4m3,fp8_e4m3,fp8_block,64,1,1,1,3072,4,0.031876
SGLang,kernel-level,NVIDIA RTX PRO 6000 Blackwell Server Edition,dsv4_flash_paged_mqa_logits_module,deep_gemm.fp8_paged_mqa_logits,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,fp8_e4m3,fp8_e4m3,fp8_block,64,1,1,1,4096,4,0.031754
SGLang,kernel-level,NVIDIA RTX PRO 6000 Blackwell Server Edition,dsv4_flash_paged_mqa_logits_module,deep_gemm.fp8_paged_mqa_logits,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,fp8_e4m3,fp8_e4m3,fp8_block,64,1,1,1,6144,4,0.032342
SGLang,kernel-level,NVIDIA RTX PRO 6000 Blackwell Server Edition,dsv4_flash_paged_mqa_logits_module,deep_gemm.fp8_paged_mqa_logits,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,fp8_e4m3,fp8_e4m3,fp8_block,64,1,1,1,8192,4,0.032346
SGLang,kernel-level,NVIDIA RTX PRO 6000 Blackwell Server Edition,dsv4_flash_paged_mqa_logits_module,deep_gemm.fp8_paged_mqa_logits,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,fp8_e4m3,fp8_e4m3,fp8_block,64,1,1,1,10240,4,0.032341
SGLang,kernel-level,NVIDIA RTX PRO 6000 Blackwell Server Edition,dsv4_flash_paged_mqa_logits_module,deep_gemm.fp8_paged_mqa_logits,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,fp8_e4m3,fp8_e4m3,fp8_block,64,1,1,1,12288,4,0.032342
SGLang,kernel-level,NVIDIA RTX PRO 6000 Blackwell Server Edition,dsv4_flash_paged_mqa_logits_module,deep_gemm.fp8_paged_mqa_logits,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,fp8_e4m3,fp8_e4m3,fp8_block,64,1,1,1,16384,4,0.032341
SGLang,kernel-level,NVIDIA RTX PRO 6000 Blackwell Server Edition,dsv4_flash_paged_mqa_logits_module,deep_gemm.fp8_paged_mqa_logits,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,fp8_e4m3,fp8_e4m3,fp8_block,64,1,1,1,32768,4,0.034295
SGLang,kernel-level,NVIDIA RTX PRO 6000 Blackwell Server Edition,dsv4_flash_paged_mqa_logits_module,deep_gemm.fp8_paged_mqa_logits,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,fp8_e4m3,fp8_e4m3,fp8_block,64,1,1,1,65536,4,0.045148
SGLang,kernel-level,NVIDIA RTX PRO 6000 Blackwell Server Edition,dsv4_flash_paged_mqa_logits_module,deep_gemm.fp8_paged_mqa_logits,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,fp8_e4m3,fp8_e4m3,fp8_block,64,1,1,1,131072,4,0.068214
SGLang,kernel-level,NVIDIA RTX PRO 6000 Blackwell Server Edition,dsv4_flash_paged_mqa_logits_module,deep_gemm.fp8_paged_mqa_logits,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,fp8_e4m3,fp8_e4m3,fp8_block,64,1,1,1,262144,4,0.097398
SGLang,kernel-level,NVIDIA RTX PRO 6000 Blackwell Server Edition,dsv4_flash_paged_mqa_logits_module,deep_gemm.fp8_paged_mqa_logits,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,fp8_e4m3,fp8_e4m3,fp8_block,64,1,1,1,524288,4,0.195211
SGLang,kernel-level,NVIDIA RTX PRO 6000 Blackwell Server Edition,dsv4_flash_paged_mqa_logits_module,deep_gemm.fp8_paged_mqa_logits,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,fp8_e4m3,fp8_e4m3,fp8_block,64,1,1,1,1048575,4,0.438747
SGLang,kernel-level,NVIDIA RTX PRO 6000 Blackwell Server Edition,dsv4_flash_paged_mqa_logits_module,deep_gemm.fp8_paged_mqa_logits,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,fp8_e4m3,fp8_e4m3,fp8_block,64,1,4,1,0,4,0.029966
SGLang,kernel-level,NVIDIA RTX PRO 6000 Blackwell Server Edition,dsv4_flash_paged_mqa_logits_module,deep_gemm.fp8_paged_mqa_logits,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,fp8_e4m3,fp8_e4m3,fp8_block,64,1,4,1,1,4,0.029962
SGLang,kernel-level,NVIDIA RTX PRO 6000 Blackwell Server Edition,dsv4_flash_paged_mqa_logits_module,deep_gemm.fp8_paged_mqa_logits,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,fp8_e4m3,fp8_e4m3,fp8_block,64,1,4,1,4,4,0.030300
SGLang,kernel-level,NVIDIA RTX PRO 6000 Blackwell Server Edition,dsv4_flash_paged_mqa_logits_module,deep_gemm.fp8_paged_mqa_logits,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,fp8_e4m3,fp8_e4m3,fp8_block,64,1,4,1,8,4,0.030279
SGLang,kernel-level,NVIDIA RTX PRO 6000 Blackwell Server Edition,dsv4_flash_paged_mqa_logits_module,deep_gemm.fp8_paged_mqa_logits,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,fp8_e4m3,fp8_e4m3,fp8_block,64,1,4,1,16,4,0.030301
SGLang,kernel-level,NVIDIA RTX PRO 6000 Blackwell Server Edition,dsv4_flash_paged_mqa_logits_module,deep_gemm.fp8_paged_mqa_logits,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,fp8_e4m3,fp8_e4m3,fp8_block,64,1,4,1,32,4,0.030291
SGLang,kernel-level,NVIDIA RTX PRO 6000 Blackwell Server Edition,dsv4_flash_paged_mqa_logits_module,deep_gemm.fp8_paged_mqa_logits,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,fp8_e4m3,fp8_e4m3,fp8_block,64,1,4,1,64,4,0.030304
SGLang,kernel-level,NVIDIA RTX PRO 6000 Blackwell Server Edition,dsv4_flash_paged_mqa_logits_module,deep_gemm.fp8_paged_mqa_logits,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,fp8_e4m3,fp8_e4m3,fp8_block,64,1,4,1,128,4,0.030836
SGLang,kernel-level,NVIDIA RTX PRO 6000 Blackwell Server Edition,dsv4_flash_paged_mqa_logits_module,deep_gemm.fp8_paged_mqa_logits,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,fp8_e4m3,fp8_e4m3,fp8_block,64,1,4,1,256,4,0.031851
SGLang,kernel-level,NVIDIA RTX PRO 6000 Blackwell Server Edition,dsv4_flash_paged_mqa_logits_module,deep_gemm.fp8_paged_mqa_logits,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,fp8_e4m3,fp8_e4m3,fp8_block,64,1,4,1,512,4,0.032856
SGLang,kernel-level,NVIDIA RTX PRO 6000 Blackwell Server Edition,dsv4_flash_paged_mqa_logits_module,deep_gemm.fp8_paged_mqa_logits,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,fp8_e4m3,fp8_e4m3,fp8_block,64,1,4,1,1024,4,0.032816
