framework,version,device,op_name,kernel_source,model,architecture,num_tokens,hc_mult,hidden_size,latency
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,pre,sglang_mhc,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,1,4,4096,0.0414
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,pre,sglang_mhc,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,2,4,4096,0.0536
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,pre,sglang_mhc,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,4,4,4096,0.0539
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,pre,sglang_mhc,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,8,4,4096,0.0557
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,pre,sglang_mhc,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,16,4,4096,0.0597
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,pre,sglang_mhc,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,32,4,4096,0.0618
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,pre,sglang_mhc,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,48,4,4096,0.0721
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,pre,sglang_mhc,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,64,4,4096,0.0761
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,pre,sglang_mhc,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,80,4,4096,0.0807
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,pre,sglang_mhc,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,96,4,4096,0.0843
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,post,sglang_mhc,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,1,4,4096,0.0065
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,pre,sglang_mhc,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,128,4,4096,0.0905
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,pre,sglang_mhc,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,160,4,4096,0.0966
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,post,sglang_mhc,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,2,4,4096,0.0066
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,pre,sglang_mhc,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,192,4,4096,0.1028
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,post,sglang_mhc,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,4,4,4096,0.0065
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,pre,sglang_mhc,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,256,4,4096,0.1212
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,post,sglang_mhc,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,8,4,4096,0.0066
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,post,sglang_mhc,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,16,4,4096,0.0066
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,pre,sglang_mhc,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,320,4,4096,0.1458
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,post,sglang_mhc,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,32,4,4096,0.0066
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,pre,sglang_mhc,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,384,4,4096,0.1601
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,post,sglang_mhc,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,48,4,4096,0.0067
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,pre,sglang_mhc,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,512,4,4096,0.1931
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,post,sglang_mhc,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,64,4,4096,0.0066
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,pre,sglang_mhc,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,768,4,4096,0.3398
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,post,sglang_mhc,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,80,4,4096,0.0065
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,pre,sglang_mhc,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,1024,4,4096,0.4831
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,post,sglang_mhc,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,96,4,4096,0.0067
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,pre,sglang_mhc,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,1536,4,4096,1.0148
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,post,sglang_mhc,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,128,4,4096,0.0066
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,pre,sglang_mhc,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,2048,4,4096,1.5588
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,post,sglang_mhc,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,160,4,4096,0.0085
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,post,sglang_mhc,sgl-project/DeepSeek-V4-Flash-FP8,DeepseekV4ForCausalLM,192,4,4096,0.0102
