framework,version,device,op_name,kernel_source,bmm_dtype,num_tokens,num_heads,latency
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,bfloat16,1,128,0.006345599889755249
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,bfloat16,1,64,0.006329599767923355
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,1,128,0.010255999863147736
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,1,64,0.0063231997191905975
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,1,32,0.006326399743556976
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,bfloat16,1,16,0.004281599819660187
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,1,16,0.006159999966621399
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,bfloat16,1,8,0.004121600091457367
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,1,8,0.006310400366783142
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,bfloat16,1,4,0.004112000018358231
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,1,4,0.006166400015354156
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,bfloat16,1,2,0.0021983999758958817
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,1,2,0.006163199990987777
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,bfloat16,1,1,0.004076800122857094
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,1,1,0.006163199990987777
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,bfloat16,1,32,0.006128000095486641
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,bfloat16,2,128,0.00817599967122078
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,bfloat16,2,64,0.006099199876189232
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,2,128,0.008207999914884568
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,bfloat16,2,32,0.004233599826693535
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,2,64,0.0063231997191905975
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,2,32,0.006329599767923355
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,bfloat16,2,16,0.004044799879193306
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,2,16,0.006275200098752975
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,bfloat16,2,8,0.004028800129890442
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,2,8,0.0061471998691558834
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,bfloat16,2,4,0.004083200171589851
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,2,4,0.0061344001442193985
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,bfloat16,2,2,0.004083200171589851
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,2,2,0.00628800019621849
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,bfloat16,2,1,0.004080000147223472
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,bfloat16,4,128,0.008185599744319916
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,2,1,0.006115199998021126
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,bfloat16,4,64,0.006137600168585777
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,4,128,0.008419200032949447
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,bfloat16,4,32,0.004121600091457367
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,4,64,0.007180800288915634
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,bfloat16,4,16,0.004105599969625473
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,4,32,0.0063391998410224915
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,bfloat16,4,8,0.004054399952292442
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,4,16,0.006153599917888641
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,bfloat16,4,4,0.004105599969625473
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,4,8,0.006281600147485733
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,bfloat16,4,2,0.004067200049757957
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,4,4,0.0061471998691558834
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,bfloat16,4,1,0.004076800122857094
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,4,2,0.006313599646091461
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,bfloat16,8,128,0.008124800026416778
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,4,1,0.006140799820423126
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,bfloat16,8,64,0.006915199756622315
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,8,128,0.010195200145244599
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,bfloat16,8,32,0.004086399823427201
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,8,64,0.008185599744319916
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,bfloat16,8,16,0.004070400074124336
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,8,16,0.006294400244951248
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,bfloat16,8,8,0.004041599854826927
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,8,8,0.006304000318050384
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,bfloat16,8,4,0.0040895998477935794
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,8,4,0.006313599646091461
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,bfloat16,8,2,0.004041599854826927
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,8,2,0.006163199990987777
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,8,32,0.006364800035953522
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,bfloat16,8,1,0.0040895998477935794
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,bfloat16,16,128,0.008153600245714187
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,8,1,0.006163199990987777
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,bfloat16,16,64,0.00615679994225502
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,16,128,0.010435199737548828
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,bfloat16,16,32,0.004099199920892716
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,16,32,0.00631679967045784
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,16,64,0.008179199695587159
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,bfloat16,16,16,0.0040608000010252
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,bfloat16,16,8,0.004054399952292442
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,16,16,0.006361600011587143
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,16,8,0.00628800019621849
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,16,4,0.006310400366783142
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,bfloat16,16,2,0.00411520004272461
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,16,2,0.006351999938488007
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,bfloat16,16,1,0.004099199920892716
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,16,1,0.006275200098752975
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,bfloat16,32,128,0.009836799651384353
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,32,128,0.014291200041770934
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,bfloat16,16,4,0.0041184000670909885
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,bfloat16,32,64,0.00613120011985302
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,bfloat16,32,32,0.004243199899792671
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,32,64,0.010179200023412705
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,32,32,0.008195199817419053
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,bfloat16,32,16,0.004233599826693535
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,32,16,0.006335999816656113
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,32,8,0.006169600039720535
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,bfloat16,32,4,0.004095999896526337
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,32,4,0.006319999694824219
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,bfloat16,32,2,0.004092799872159958
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,32,2,0.00631679967045784
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,bfloat16,32,1,0.004038399830460548
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,32,1,0.0061344001442193985
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,bfloat16,32,8,0.004019200056791306
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,bfloat16,48,128,0.0102463997900486
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,48,128,0.018377600610256194
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,bfloat16,48,64,0.006345599889755249
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,bfloat16,48,32,0.00525440014898777
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,48,64,0.01180799975991249
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,48,32,0.00820159986615181
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,bfloat16,48,16,0.004108799993991852
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,48,16,0.00716480016708374
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,bfloat16,48,8,0.0040608000010252
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,48,8,0.0063391998410224915
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,bfloat16,48,4,0.004086399823427201
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,48,4,0.006310400366783142
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,bfloat16,48,2,0.004076800122857094
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,48,2,0.006335999816656113
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,bfloat16,48,1,0.004112000018358231
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,48,1,0.006169600039720535
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,bfloat16,64,128,0.011622399836778641
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,64,128,0.021315200626850127
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,bfloat16,64,64,0.0064800001680850984
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,64,64,0.012460800260305405
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,bfloat16,64,32,0.004704000055789947
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,64,32,0.010175999999046326
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,bfloat16,64,16,0.004239999875426293
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,64,16,0.008211199939250947
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,bfloat16,64,8,0.004092799872159958
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,64,8,0.006310400366783142
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,bfloat16,64,4,0.004300799965858459
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,64,4,0.006159999966621399
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,bfloat16,64,2,0.004086399823427201
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,64,2,0.006284800171852112
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,bfloat16,64,1,0.004112000018358231
