platform,family,phase,ep,eplb,points,tokens
h100,ordinary_context,context,1,off,18,1 2 4 8 16 32 64 128 512 640 896 1536 2048 4096 5120 8192 12288 16384
h100,ordinary_context,context,2,off,18,1 2 4 8 16 32 64 128 512 640 896 1536 2048 4096 5120 8192 12288 16384
h100,ordinary_context,context,2,on,18,1 2 4 8 16 32 64 128 512 640 896 1536 2048 4096 5120 8192 12288 16384
h100,ordinary_context,context,4,off,18,1 2 4 8 16 32 64 128 512 640 896 1536 2048 4096 5120 8192 12288 16384
h100,ordinary_context,context,4,on,18,1 2 4 8 16 32 64 128 512 640 896 1536 2048 4096 5120 8192 12288 16384
h100,ordinary_generation,generation,1,off,17,1 2 4 8 16 32 40 64 128 288 512 896 1024 1280 4096 8192 16384
h100,ordinary_generation,generation,2,off,17,1 2 4 8 16 32 40 64 128 288 512 896 1024 1280 4096 8192 16384
h100,ordinary_generation,generation,2,on,17,1 2 4 8 16 32 40 64 128 288 512 896 1024 1280 4096 8192 16384
h100,ordinary_generation,generation,4,off,17,1 2 4 8 16 32 40 64 128 288 512 896 1024 1280 4096 8192 16384
h100,ordinary_generation,generation,4,on,17,1 2 4 8 16 32 40 64 128 288 512 896 1024 1280 4096 8192 16384
h100,wideep_context,context,2,off,19,4 8 16 32 64 128 512 640 896 1536 2048 2560 4096 5120 8192 10240 12288 14336 16384
h100,wideep_context,context,2,on,19,4 8 16 32 64 128 512 640 896 1536 2048 2560 4096 5120 8192 10240 12288 14336 16384
h100,wideep_context,context,4,off,19,4 8 16 32 64 128 512 640 896 1536 2048 2560 4096 5120 8192 10240 12288 14336 16384
h100,wideep_context,context,4,on,19,4 8 16 32 64 128 512 640 896 1536 2048 2560 4096 5120 8192 10240 12288 14336 16384
h100,wideep_generation,generation,2,off,10,4 8 32 64 128 288 512 896 1024 1280
h100,wideep_generation,generation,2,on,10,4 8 32 64 128 288 512 896 1024 1280
h100,wideep_generation,generation,4,off,10,4 8 32 64 128 288 512 896 1024 1280
h100,wideep_generation,generation,4,on,10,4 8 32 64 128 288 512 896 1024 1280
h20,ordinary_context,context,1,off,18,1 2 4 8 16 32 64 128 512 640 896 1536 2048 4096 5120 8192 12288 16384
h20,ordinary_context,context,2,off,18,1 2 4 8 16 32 64 128 512 640 896 1536 2048 4096 5120 8192 12288 16384
h20,ordinary_context,context,2,on,18,1 2 4 8 16 32 64 128 512 640 896 1536 2048 4096 5120 8192 12288 16384
h20,ordinary_context,context,4,off,18,1 2 4 8 16 32 64 128 512 640 896 1536 2048 4096 5120 8192 12288 16384
h20,ordinary_context,context,4,on,18,1 2 4 8 16 32 64 128 512 640 896 1536 2048 4096 5120 8192 12288 16384
h20,ordinary_context,context,8,off,18,1 2 4 8 16 32 64 128 512 640 896 1536 2048 4096 5120 8192 12288 16384
h20,ordinary_context,context,8,on,18,1 2 4 8 16 32 64 128 512 640 896 1536 2048 4096 5120 8192 12288 16384
h20,ordinary_generation,generation,1,off,17,1 2 4 8 16 32 40 64 128 288 512 896 1024 1280 4096 8192 16384
h20,ordinary_generation,generation,2,off,17,1 2 4 8 16 32 40 64 128 288 512 896 1024 1280 4096 8192 16384
h20,ordinary_generation,generation,2,on,17,1 2 4 8 16 32 40 64 128 288 512 896 1024 1280 4096 8192 16384
h20,ordinary_generation,generation,4,off,17,1 2 4 8 16 32 40 64 128 288 512 896 1024 1280 4096 8192 16384
h20,ordinary_generation,generation,4,on,17,1 2 4 8 16 32 40 64 128 288 512 896 1024 1280 4096 8192 16384
h20,ordinary_generation,generation,8,off,17,1 2 4 8 16 32 40 64 128 288 512 896 1024 1280 4096 8192 16384
h20,ordinary_generation,generation,8,on,17,1 2 4 8 16 32 40 64 128 288 512 896 1024 1280 4096 8192 16384
h20,wideep_context,context,2,off,19,4 8 16 32 64 128 512 640 896 1536 2048 2560 4096 5120 8192 10240 12288 14336 16384
h20,wideep_context,context,2,on,19,4 8 16 32 64 128 512 640 896 1536 2048 2560 4096 5120 8192 10240 12288 14336 16384
h20,wideep_context,context,4,off,19,4 8 16 32 64 128 512 640 896 1536 2048 2560 4096 5120 8192 10240 12288 14336 16384
h20,wideep_context,context,4,on,19,4 8 16 32 64 128 512 640 896 1536 2048 2560 4096 5120 8192 10240 12288 14336 16384
h20,wideep_context,context,8,off,19,4 8 16 32 64 128 512 640 896 1536 2048 2560 4096 5120 8192 10240 12288 14336 16384
h20,wideep_context,context,8,on,19,4 8 16 32 64 128 512 640 896 1536 2048 2560 4096 5120 8192 10240 12288 14336 16384
h20,wideep_generation,generation,2,off,10,4 8 32 64 128 288 512 896 1024 1280
h20,wideep_generation,generation,2,on,10,4 8 32 64 128 288 512 896 1024 1280
h20,wideep_generation,generation,4,off,10,4 8 32 64 128 288 512 896 1024 1280
h20,wideep_generation,generation,4,on,10,4 8 32 64 128 288 512 896 1024 1280
h20,wideep_generation,generation,8,off,9,8 32 40 64 128 512 896 1024 1280
h20,wideep_generation,generation,8,on,9,8 32 40 64 128 512 896 1024 1280
