platform,family,phase,ep,eplb,token,sessions,values_us,truth_median_us,truth_mean_us,min_session_us,max_session_us,spread_pct,stability,source_group,truth_method,notes
h20,ordinary_context,context,1,off,1,3,209.537;209.857;209.985,209.857,209.793,209.537,209.985,0.213478702163858,stable,aic_covered_context_truth_supplement_20260725,torch_profiler_kernel_external_id_or_existing_mode_parser,AIC-covered truth supplement; wideep_generation token40 excluded because nsys event-node parser produced no valid truth.
h20,ordinary_context,context,1,off,2,3,403.457;404.290;406.273,404.29,404.67333333333335,403.457,406.273,0.6965297187662397,stable,aic_covered_context_truth_supplement_20260725,torch_profiler_kernel_external_id_or_existing_mode_parser,AIC-covered truth supplement; wideep_generation token40 excluded because nsys event-node parser produced no valid truth.
h20,ordinary_context,context,1,off,4,3,703.586;703.938;706.050,703.938,704.525,703.586,706.05,0.35,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,1,off,8,3,1223.012;1223.301;1224.100,1223.301,1223.471,1223.012,1224.1,0.09,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,1,off,16,3,1954.759;1955.367;1958.791,1955.367,1956.3056666666669,1954.759,1958.791,0.2062017002434799,stable,aic_covered_context_truth_supplement_20260725,torch_profiler_kernel_external_id_or_existing_mode_parser,AIC-covered truth supplement; wideep_generation token40 excluded because nsys event-node parser produced no valid truth.
h20,ordinary_context,context,1,off,32,3,3045.932;3048.682;3051.947,3048.682,3048.854,3045.932,3051.947,0.2,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,1,off,64,3,3993.485;4000.878;4004.078,4000.878,3999.48,3993.485,4004.078,0.26,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,1,off,128,3,4843.280;4844.337;4844.723,4844.337,4844.113,4843.28,4844.723,0.03,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,1,off,512,3,5452.980;5465.875;5467.698,5465.875,5462.184,5452.98,5467.698,0.27,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,1,off,640,3,5526.582;5528.525;5539.637,5528.525,5531.581,5526.582,5539.637,0.24,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,1,off,896,3,5816.311;5824.693;5834.613,5824.693,5825.206,5816.311,5834.613,0.31,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,1,off,1536,3,7035.515;7054.619;7065.498,7054.619,7051.877,7035.515,7065.498,0.43,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
